業,種 目,,,,,,,,,A(株価),,,
業 種 目,,,,,,,,,,,A(株価),,,
"",,,,B,C,D,,,,,,,,
大 分,類,,,,,,,,9月分,,,,10月分,
"",,,番,,,,,,,,,,,
中 分,類,,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,,号,,,,,,,,,,,
"",,,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,,課税時期,,,,課税時期,
"",,,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,,前々月,,,,前々月,
"",,,,,,,平均株価,,,,平均株価,,,
"運輸業,郵便業",,,60,5.4,41,387,310,312,304,319,327 310,312,319,327 331
道路貨物運送業,,,61,5.0,41,343,340,332,369,406,408 344,332,406,408 421
水 運,業,,62,2.7,38,341,145,147,127,126,133 144,147,126,133 140
運輸に附帯する,,,,,,,,,,,,,,
"",,,63,9.6,54,504,428,437,405,420,435 427,437,420,435 438
サービス業,,,,,,,,,,,,,,
その他の運輸,,,,,,,,,,,,,,
"",,,64,3.9,33,371,264,273,238,238,247 262,273,238,247 240
"業,郵便業",,,,,,,,,,,,,,
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
卸 売,業,65,6.1,35,323,281,281,274,276,290 280,281,276,290 296
各種商品卸売業,,66,10.5,54,373,266,268,245,262,282 265,268,262,282 270
繊維・衣服等卸,,,,,,,,,,,,,
"",,67,3.0,9,166,109,109,106,107,109 108,109,107,109 109
売業,,,,,,,,,,,,,
飲食料品卸売業,,68,3.5,23,261,208,210,202,202,211 207,210,202,211 208
農畜産物・水,,,,,,,,,,,,,
138産物卸売業,,69,2.7,14,193,136,136,134,134,140 135,136,134,140
食料・飲料卸,,,,,,,,,,,,,
290売業,,70,4.4,33,342,292,296,283,282,294 292,296,282,294
"建築材料,鉱",,,,,,,,,,,,,
物・金属材料等,,71,6.3,43,404,269,268,268,269,283 269,268,269,283 290
卸売業,,,,,,,,,,,,,
化学製品卸売,,,,,,,,,,,,,
281業,,72,7.6,50,460,293,302,271,270,283 292,302,270,283
その他の建築,,,,,,,,,,,,,
"材料,鉱物・金",,,,,,,,,,,,,
293属材料等卸売,,73,6.0,41,388,262,258,267,268,283 263,258,268,283
業,,,,,,,,,,,,,
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
(卸 売 業),,,,,,,,,,,,,
機械器具卸売業,,74,7.3,43,352,358,359,350,351,369 357,359,351,369 379
産業機械器具,,,,,,,,,,,,,
338卸売業,,75,6.6,48,330,340,346,324,321,334 339,346,321,334
電気機械器具,,,,,,,,,,,,,
295卸売業,,76,5.9,29,323,281,282,276,270,281 280,282,270,281
その他の機械,,,,,,,,,,,,,
703器具卸売業,,77,12.6,70,488,606,602,613,643,690 609,602,643,690
その他の卸売業,,78,5.4,26,258,252,251,240,247,257 251,251,247,257 265
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
小 売,業,79,5.4,31,241,381,372,406,423,433 381,372,423,433 431
各種商品小売業,,80,2.6,21,187,261,259,262,271,273 260,259,271,273 274
織物・衣服・身の,,,,,,,,,,,,,
"",,81,8.7,36,253,436,493,304,304,320 428,493,304,320 323
回り品小売業,,,,,,,,,,,,,
飲食料品小売業,,82,5.2,26,263,365,345,436,460,463 367,345,460,463 449
機械器具小売業,,83,5.9,33,241,274,271,273,283,297 273,271,283,297 314
その他の小売業,,84,5.5,36,249,448,421,521,540,543 451,421,540,543 536
医薬品・化粧,,,,,,,,,,,,,
880品小売業,,85,7.1,52,313,751,688,900,911,900 754,688,911,900
その他の小売,,,,,,,,,,,,,
420業,,86,5.0,30,228,345,331,393,414,422 348,331,414,422
無 店 舗 小 売 業,,87,2.7,26,210,376,356,417,452,484 379,356,452,484 481
"",業種目,"番号",,"B配当金額","C利益金額","D簿価純資産価額額",,A(株価),,,,,,,,,,
